#This is the fibers geometry file for AESOP
#This file was first written at: Tue Apr  5 16:30:01 CEST 2016
#Original filename: /home/tdwelly/4most/OpSim/inputs_to_system_model/AESOP/info_2016-04-05/aesop-cfg.json
#This file contains one entry per Fiber/Positioner, and gives the coordinates and details of each fiber
#Other info:
#Pitch is 9.542mm between fibres
#Fibe size is 0.085, so 1.43 asec
#Plate scale is 0.0594 mm/asec
#FoV is 535mm = 2.502 degrees diameter
#Rad curve 4,653 mm
#Patrol requirement is 11.5mm, but in practice they expect 12.3mm +/- 0.5 (so 11.8-12.8mm)
#Description of columns:
#Index  Name        Format    Description
#-----  ----------- --------- --------------------------------------------------------------------------------
#1      id          integer   Fiber identification number
#2      x0_mm       float     offset of the fiber base position from the FoV centre in the x-direction (mm)
#3      y0_mm       float     offset of the fiber base position from the FoV centre in the x-direction (mm)
#4      res         integer   code giving the resolution code of the fiber (1=low res, 2=high res)
#5      sector      integer   ID of the sky fiber allocation sector that this fiber lies within
#6      EdgeFlag    integer   Flag set if the fiber is at edge of field (0=middle;1=border;2=edge;3=corner)
#7      Spectro     string    HR, LR-A, LR-B
#8      Slitlet     integer   Slitlet within spectrograph
#9      Slitpos     integer   Slitpos within slitlet
#-----  ----------- --------- --------------------------------------------------------------------------------
id            x0_mm     y0_mm       res      sector  EdgeFlag  Spectro  Slitlet  Slitpos
227         -178.9655   131.1811    1       -1       -1    LR-A         7        2
228         -178.9545   140.7186    1       -1       -1    LR-B         7        2
229         -178.9427   150.2556    2       -1       -1      HR         7        1
230         -178.9301   159.7919    1       -1       -1    LR-A         7        1
231         -178.9168   169.3275    1       -1       -1    LR-B         7        1
232         -170.5990  -169.3275    1       -1       -1    LR-A         8       13
233         -170.6117  -159.7919    1       -1       -1    LR-B         8       12
234         -170.6237  -150.2556    2       -1       -1      HR         8       12
235         -170.6350  -140.7186    1       -1       -1    LR-A         8       12
236         -170.6455  -131.1811    1       -1       -1    LR-B         8       11
237         -170.6553  -121.6430    2       -1       -1      HR         8       11
238         -170.6643  -112.1043    1       -1       -1    LR-A         8       11
239         -170.6727  -102.5652    1       -1       -1    LR-B         8       10
240         -170.6802   -93.0256    2       -1       -1      HR         8       10
241         -170.6870   -83.4856    1       -1       -1    LR-A         8       10
242         -170.6932   -73.9453    1       -1       -1    LR-B         8        9
243         -170.6985   -64.4047    2       -1       -1      HR         8        9
244         -170.7031   -54.8637    1       -1       -1    LR-A         8        9
245         -170.7070   -45.3225    1       -1       -1    LR-B         8        8
246         -170.7101   -35.7812    2       -1       -1      HR         8        8
247         -170.7125   -26.2397    1       -1       -1    LR-A         8        8
248         -170.7142   -16.6980    1       -1       -1    LR-B         8        7
